Name,Value,Fee,From,Direction
"Karim Cissé","€150k","loan transfer","AS Saint-Étienne","Joined","FC Annecy"
"Darling Bladi","€50k","loan transfer","AS Saint-Étienne","Joined","Bourg-en-Bresse"
"Mathieu Cafaro","€2.00m","?","AS Saint-Étienne","Joined","Paris FC"
"Dylan Chambost","€2.00m","?","AS Saint-Étienne","Joined","Columbus"
"Ayman Aiki","€500k","loan transfer","AS Saint-Étienne","Joined","SC Bastia"
"Mahmoud Bentayg","€400k","loan transfer","AS Saint-Étienne","Joined","Zamalek"
"Beres Owusu","-","loan transfer","AS Saint-Étienne","Joined","QRM"
"Nathanaël Mbuku","€2.00m","End of loanJun 30, 2024","AS Saint-Étienne","Joined","Augsburg"
"Irvin Cardona","€2.50m","End of loanJun 30, 2024","AS Saint-Étienne","Joined","Augsburg"
"Stéphane Diarra","€1.20m","End of loanJun 30, 2024","AS Saint-Étienne","Joined","FC Lorient"
"Ilya Zabarnyi","€42.00m","€63.00m","Paris Saint-Germain","Left","Bournemouth"
"Lucas Chevalier","€30.00m","€40.00m","Paris Saint-Germain","Left","Lille"
"Renato Marin","€500k","free transfer","Paris Saint-Germain","Left","Roma"
"Quentin Ndjantou","-","-","Paris Saint-Germain","Left","Paris SG U19"
"Ibrahim Mbaye","€3.00m","-","Paris Saint-Germain","Left","Paris SG U23"
"Marco Asensio","€20.00m","End of loanJun 30, 2025","Paris Saint-Germain","Left","Aston Villa"
"Milan Škriniar","€15.00m","End of loanJun 30, 2025","Paris Saint-Germain","Left","Fenerbahçe"
"Randal Kolo Muani","€30.00m","End of loanJul 15, 2025","Paris Saint-Germain","Left","Juventus"
"Carlos Soler","€18.00m","End of loanJun 30, 2025","Paris Saint-Germain","Left","West Ham"
"Nordi Mukiele","€10.00m","End of loanJun 30, 2025","Paris Saint-Germain","Left","Leverkusen"
"Ilyes Housni","€1.50m","End of loanJun 30, 2025","Paris Saint-Germain","Left","Le Havre AC"
"Gabriel Moscardo","€8.00m","End of loanJun 10, 2025","Paris Saint-Germain","Left","Stade Reims"
"Renato Sanches","€3.00m","End of loanJun 30, 2025","Paris Saint-Germain","Left","Benfica"
"Gianluigi Donnarumma","€40.00m","€30.00m","Paris Saint-Germain","Joined","Man City"
"Nordi Mukiele","€10.00m","€12.00m","Paris Saint-Germain","Joined","Sunderland"
"Marco Asensio","€20.00m","€7.50m","Paris Saint-Germain","Joined","Fenerbahçe"
"Carlos Soler","€18.00m","€6.00m","Paris Saint-Germain","Joined","Real Sociedad"
"Milan Škriniar","€15.00m","€6.00m","Paris Saint-Germain","Joined","Fenerbahçe"
"Arnau Tenas","€3.00m","€2.50m","Paris Saint-Germain","Joined","Villarreal"
"Renato Sanches","€3.00m","loan transfer","Paris Saint-Germain","Joined","Panathinaikos"
"Presnel Kimpembe","€5.00m","?","Paris Saint-Germain","Joined","Qatar SC"
"Naoufel El Hannach","-","loan transfer","Paris Saint-Germain","Joined","Montpellier"
"Gabriel Moscardo","€8.00m","loan transfer","Paris Saint-Germain","Joined","Braga"
"Randal Kolo Muani","€30.00m","loan transfer","Paris Saint-Germain","Joined","Tottenham"
"Ilyes Housni","€1.50m","-","Paris Saint-Germain","Joined","Paris SG U23"
"Yoram Zague","€2.50m","loan transfer","Paris Saint-Germain","Joined","Copenhagen"
"Igor Paixão","€35.00m","€30.00m","Olympique Marseille","Left","Feyenoord"
"Nayef Aguerd","€18.00m","€23.00m","Olympique Marseille","Left","West Ham"
"Jonathan Rowe","€12.00m","€14.50m","Olympique Marseille","Left","Norwich"
"Pierre-Emile Højbjerg","€20.00m","€13.50m","Olympique Marseille","Left","Tottenham"
"Neal Maupay","€8.00m","€4.00m","Olympique Marseille","Left","Everton"
"Arthur Vermeeren","€22.00m","Loan fee:€3.00m","Olympique Marseille","Left","Leipzig"
"Benjamin Pavard","€25.00m","Loan fee:€2.50m","Olympique Marseille","Left","Inter"
"Facundo Medina","€25.00m","Loan fee:€2.00m","Olympique Marseille","Left","Lens"
"Matt O'Riley","€22.00m","Loan fee:€2.00m","Olympique Marseille","Left","Brighton"
"Timothy Weah","€17.00m","Loan fee:€1.00m","Olympique Marseille","Left","Juventus"
"Emerson","€10.00m","€700k","Olympique Marseille","Left","West Ham"
"Pierre-Emerick Aubameyang","€3.50m","free transfer","Olympique Marseille","Left","Al-Qadsiah"
"CJ Egan-Riley","€16.00m","free transfer","Olympique Marseille","Left","Burnley"
"Angel Gomes","€20.00m","free transfer","Olympique Marseille","Left","Lille"
"Hamed Traoré","€20.00m","loan transfer","Olympique Marseille","Left","Bournemouth"
"Pau López","€2.50m","End of loanJun 30, 2025","Olympique Marseille","Left","Toluca"
"Robinio Vaz","€150k","-","Olympique Marseille","Left","Marseille B"
"Ismaël Koné","€9.00m","End of loanJun 30, 2025","Olympique Marseille","Left","Stade Rennais"
"Bamo Meïté","€4.00m","End of loanJun 30, 2025","Olympique Marseille","Left","Montpellier"
"François Mughe","€400k","End of loanJun 30, 2025","Olympique Marseille","Left","Kallithea"
"Azzedine Ounahi","€10.00m","End of loanJun 30, 2025","Olympique Marseille","Left","Panathinaikos"
"Derek Cornelius","€4.00m","End of loanMay 31, 2026","Olympique Marseille","Left","Rangers"
"Samuel Gigot","€3.00m","End of loanJun 30, 2025","Olympique Marseille","Left","Lazio"
"Simon Ngapandouetnbu","€500k","End of loanJun 30, 2025","Olympique Marseille","Left","Nîmes Olympique"
"Luis Henrique","€25.00m","€22.80m","Olympique Marseille","Joined","Inter"
"Jonathan Rowe","€12.00m","€17.00m","Olympique Marseille","Joined","Bologna"
"Quentin Merlin","€15.00m","€13.00m","Olympique Marseille","Joined","Stade Rennais"
"Adrien Rabiot","€25.00m","€7.00m","Olympique Marseille","Joined","AC Milan"
"Azzedine Ounahi","€10.00m","€6.00m","Olympique Marseille","Joined","Girona"
"Valentin Rongier","€9.00m","€5.50m","Olympique Marseille","Joined","Stade Rennais"
"Pau López","€2.50m","€4.80m","Olympique Marseille","Joined","Toluca"
"Samuel Gigot","€3.00m","€4.50m","Olympique Marseille","Joined","Lazio"
"Ismaël Koné","€9.00m","Loan fee:€2.50m","Olympique Marseille","Joined","Sassuolo"
"Faris Moumbagna","€5.00m","Loan fee:€300k","Olympique Marseille","Joined","Cremonese"
"Amar Dedić","€12.00m","€100k","Olympique Marseille","Joined","Salzburg"
"Simon Ngapandouetnbu","€500k","free transfer","Olympique Marseille","Joined","Montpellier"
"Luiz Felipe","€5.00m","free transfer","Olympique Marseille","Joined","Rayo Vallecano"
"Chancel Mbemba","€2.00m","free transfer","Olympique Marseille","Joined","Lille"
"Bamo Meïté","€4.00m","loan transfer","Olympique Marseille","Joined","FC Lorient"
"Derek Cornelius","€5.00m","loan transfer","Olympique Marseille","Joined","Rangers"
"Amine Harit","€8.00m","loan transfer","Olympique Marseille","Joined","Basaksehir"
"François Mughe","€400k","-","Olympique Marseille","Joined","Marseille B"
"Ismaël Bennacer","€15.00m","End of loanJun 30, 2025","Olympique Marseille","Joined","AC Milan"
"Neal Maupay","€8.00m","End of loanJun 30, 2025","Olympique Marseille","Joined","Everton"
"Jonathan Rowe","€12.00m","End of loanJun 30, 2025","Olympique Marseille","Joined","Norwich"
"Pierre-Emile Højbjerg","€20.00m","End of loanJun 30, 2025","Olympique Marseille","Joined","Tottenham"
"Stanis Idumbo","€2.50m","€10.00m","AS Monaco","Left","Sevilla FC"
"Lukas Hradecky","€2.00m","€3.00m","AS Monaco","Left","Leverkusen"
"Eric Dier","€8.00m","free transfer","AS Monaco","Left","Bayern Munich"
"Ansu Fati","€5.00m","loan transfer","AS Monaco","Left","Barcelona"
"Saïmon Bouabré","€300k","-","AS Monaco","Left","Monaco U21"
"Aladji Bamba","-","-","AS Monaco","Left","Monaco U19"
"Mamadou Coulibaly","€200k","-","AS Monaco","Left","Monaco U21"
"Lucas Michal","€500k","-","AS Monaco","Left","Monaco U21"
"Paul Pogba","€5.00m","-","AS Monaco","Left","Without Club"
"Myron Boadu","€7.00m","End of loanJun 30, 2025","AS Monaco","Left","VfL Bochum"
"Ismail Jakobs","€7.00m","End of loanJun 30, 2025","AS Monaco","Left","Galatasaray"
"Chrislain Matsima","€22.00m","End of loanJun 30, 2025","AS Monaco","Left","Augsburg"
"Paris Brunner","€1.50m","End of loanJun 30, 2025","AS Monaco","Left","Cercle Brugge"
"Eliesse Ben Seghir","€28.00m","€32.00m","AS Monaco","Joined","Leverkusen"
"Wilfried Singo","€25.00m","€30.77m","AS Monaco","Joined","Galatasaray"
"Soungoutou Magassa","€12.00m","€17.00m","AS Monaco","Joined","West Ham"
"Breel Embolo","€12.00m","€13.00m","AS Monaco","Joined","Stade Rennais"
"Saïmon Bouabré","€300k","€10.00m","AS Monaco","Joined","NEOM SC"
"Ismail Jakobs","€7.00m","€8.00m","AS Monaco","Joined","Galatasaray"
"Chrislain Matsima","€22.00m","€5.00m","AS Monaco","Joined","Augsburg"
"Myron Boadu","€7.00m","€800k","AS Monaco","Joined","PSV"
"Edan Diop","€600k","loan transfer","AS Monaco","Joined","Cercle Brugge"
"Radoslaw Majecki","€6.00m","loan transfer","AS Monaco","Joined","Stade Brestois"
"Moatasem Al-Musrati","€8.00m","End of loanJun 30, 2025","AS Monaco","Joined","Besiktas"
"Isak Jansson","€3.50m","€10.00m","OGC Nice","Left","Rapid Vienna"
"Yehvann Diouf","€12.00m","€6.50m","OGC Nice","Left","Stade Reims"
"Charles Vanhoutte","€6.00m","€6.00m","OGC Nice","Left","Union SG"
"Kevin Carlos","€4.50m","€6.00m","OGC Nice","Left","Basel"
"Kojo Peprah Oppong","€1.00m","€2.68m","OGC Nice","Left","Norrköping"
"Salis Abdul Samed","€5.50m","€2.50m","OGC Nice","Left","Lens"
"Gabin Bernardeau","€600k","free transfer","OGC Nice","Left","Le Mans FC"
"Tiago Gouveia","€4.00m","loan transfer","OGC Nice","Left","Benfica"
"Juma Bah","€6.00m","loan transfer","OGC Nice","Left","Man City"
"Hamza Koutoune","-","-","OGC Nice","Left","Nizza U19"
"Bartosz Zelazowski","-","-","OGC Nice","Left","Nice Espoir"
"Djibril Coulibaly","-","-","OGC Nice","Left","Nizza U19"
"Amidou Doumbouya","€200k","-","OGC Nice","Left","Nizza U19"
"Bernard Nguene","€100k","-","OGC Nice","Left","Nizza U19"
"Ayoub Amraoui","€900k","End of loanJun 30, 2025","OGC Nice","Left","FC Martigues"
"Jean-Clair Todibo","€25.00m","End of loanJun 30, 2025","OGC Nice","Left","West Ham"
"Billal Brahimi","€1.80m","End of loanJun 30, 2025","OGC Nice","Left","Sint-Truiden"
"Aliou Baldé","€800k","End of loanJun 30, 2025","OGC Nice","Left","Lausanne-Sport"
"Rareș Ilie","€1.80m","End of loanJun 30, 2025","OGC Nice","Left","Catanzaro"
"Issiaga Camara","€200k","End of loanJun 30, 2025","OGC Nice","Left","Dijon"
"Mattia Viti","€5.50m","End of loanJun 30, 2025","OGC Nice","Left","FC Empoli"
"Jean-Clair Todibo","€25.00m","€40.00m","OGC Nice","Joined","West Ham"
"Evann Guessand","€25.00m","€30.00m","OGC Nice","Joined","Aston Villa"
"Badredine Bouanani","€7.00m","€15.00m","OGC Nice","Joined","Stuttgart"
"Marcin Bulka","€20.00m","€15.00m","OGC Nice","Joined","NEOM SC"
"Gaëtan Laborde","€6.00m","€4.00m","OGC Nice","Joined","Al-Diraiyah FC"
"Pablo Rosario","€8.00m","€3.75m","OGC Nice","Joined","Porto"
"Amidou Doumbouya","€200k","€250k","OGC Nice","Joined","Al-Duhail SC"
"Ayoub Amraoui","€900k","?","OGC Nice","Joined","Al-Ahli SC"
"Teddy Boulhendi","€50k","loan transfer","OGC Nice","Joined","Bourg-en-Bresse"
"Aliou Baldé","€800k","loan transfer","OGC Nice","Joined","FC St. Gallen"
"Issiaga Camara","€200k","loan transfer","OGC Nice","Joined","Brommapojkarna"
"Hamza Koutoune","€200k","loan transfer","OGC Nice","Joined","FC Annecy"
"Rareș Ilie","€1.80m","loan transfer","OGC Nice","Joined","FC Empoli"
"Mattia Viti","€5.50m","loan transfer","OGC Nice","Joined","Fiorentina"
"Victor Orakpo","€400k","loan transfer","OGC Nice","Joined","Montpellier"
"Yaël Nandjou","€150k","-","OGC Nice","Joined","Without Club"
"Billal Brahimi","€1.80m","-","OGC Nice","Joined","Without Club"
"Youssoufa Moukoko","€10.00m","End of loanJun 30, 2025","OGC Nice","Joined","Dortmund"
"Baptiste Santamaria","€7.00m","End of loanJun 30, 2025","OGC Nice","Joined","Stade Rennais"
"Hamza Igamane","€7.00m","€11.50m","LOSC Lille","Left","Rangers"
"Félix Correia","€4.00m","€7.00m","LOSC Lille","Left","Gil Vicente"
"Marius Broholm","€7.00m","€6.00m","LOSC Lille","Left","Rosenborg"
"Berke Özer","€6.00m","€4.50m","LOSC Lille","Left","Eyüpspor"
"Calvin Verdonk","€2.50m","€3.00m","LOSC Lille","Left","NEC Nijmegen"
"Romain Perraud","€5.00m","€3.00m","LOSC Lille","Left","Real Betis"
"Nathan Ngoy","€3.50m","€3.00m","LOSC Lille","Left","Standard Liège"
"Chancel Mbemba","€2.00m","free transfer","LOSC Lille","Left","Marseille"
"Olivier Giroud","€1.50m","free transfer","LOSC Lille","Left","LAFC"
"Arnaud Bodart","€2.50m","free transfer","LOSC Lille","Left","FC Metz"
"Lisandru Olmeta","€150k","-","LOSC Lille","Left","LOSC Lille B"
"Isaac Cossier","-","-","LOSC Lille","Left","LOSC Lille B"
"Tiago Morais","€3.00m","End of loanJun 30, 2025","LOSC Lille","Left","Rio Ave"
"Alan Virginius","€3.00m","End of loanJun 30, 2025","LOSC Lille","Left","Young Boys"
"Vincent Burlet","€600k","End of loanOct 31, 2025","LOSC Lille","Left","Stade Reims"
"Ignacio Miramón","€1.20m","End of loanDec 31, 2025","LOSC Lille","Left","Boca Juniors"
"Ugo Raghouber","€4.00m","End of loanJun 30, 2025","LOSC Lille","Left","USL Dunkerque"
"Andrej Ilic","€4.00m","End of loanJun 30, 2025","LOSC Lille","Left","Union Berlin"
"Vincent Burlet","€600k","End of loanJun 30, 2025","LOSC Lille","Left","Le Mans FC"
"Ousmane Touré","€500k","End of loanJun 30, 2025","LOSC Lille","Left","Valenciennes FC"
"Rafael Fernandes","€1.00m","End of loanJun 30, 2025","LOSC Lille","Left","Rangers"
"Mohamed Bayo","€2.80m","End of loanJun 30, 2025","LOSC Lille","Left","Royal Antwerp"
"Lucas Chevalier","€30.00m","€40.00m","LOSC Lille","Joined","PSG"
"Bafodé Diakité","€28.00m","€35.00m","LOSC Lille","Joined","Bournemouth"
"Edon Zhegrova","€25.00m","€15.50m","LOSC Lille","Joined","Juventus"
"Gabriel Gudmundsson","€7.00m","€11.60m","LOSC Lille","Joined","Leeds"
"Andrej Ilic","€4.00m","€5.00m","LOSC Lille","Joined","Union Berlin"
"Alan Virginius","€3.00m","€2.50m","LOSC Lille","Joined","Young Boys"
"Jonathan David","€45.00m","free transfer","LOSC Lille","Joined","Juventus"
"Angel Gomes","€20.00m","free transfer","LOSC Lille","Joined","Marseille"
"Rémy Cabella","€2.50m","free transfer","LOSC Lille","Joined","Olympiacos"
"Tiago Morais","€3.00m","loan transfer","LOSC Lille","Joined","Casa Pia"
"Vincent Burlet","€600k","loan transfer","LOSC Lille","Joined","US Boulogne"
"Mohamed Bayo","€2.80m","loan transfer","LOSC Lille","Joined","Gaziantep FK"
"Vincent Burlet","€600k","loan transfer","LOSC Lille","Joined","Stade Reims"
"Isaac Cossier","-","loan transfer","LOSC Lille","Joined","Le Mans FC"
"Lisandru Olmeta","€150k","loan transfer","LOSC Lille","Joined","SC Bastia"
"Vito Mannone","€150k","-","LOSC Lille","Joined","Without Club"
"Samuel Umtiti","€1.50m","-","LOSC Lille","Joined","Without Club"
"Ismaily","€1.20m","-","LOSC Lille","Joined","Without Club"
"Mitchel Bakker","€7.00m","End of loanJun 30, 2025","LOSC Lille","Joined","Atalanta"
"Chuba Akpom","€7.00m","End of loanJun 30, 2025","LOSC Lille","Joined","Ajax"
"Tyler Morton","€7.00m","€10.00m","Olympique Lyon","Left","Liverpool"
"Matt Turner","€2.50m","€8.00m","Olympique Lyon","Left","Nott'm Forest"
"Pavel Sulc","€10.00m","€7.50m","Olympique Lyon","Left","Viktoria Plzeň"
"Dominik Greif","€6.00m","€4.00m","Olympique Lyon","Left","RCD Mallorca"
"Ruben Kluivert","€700k","€3.78m","Olympique Lyon","Left","Casa Pia"
"Afonso Moreira","€400k","€2.00m","Olympique Lyon","Left","Sporting B"
"Martín Satriano","€5.00m","Loan fee:€1.00m","Olympique Lyon","Left","Lens"
"Adam Karabec","€4.00m","Loan fee:€300k","Olympique Lyon","Left","Sparta Prague"
"Hans Hateboer","€2.50m","loan transfer","Olympique Lyon","Left","Stade Rennais"
"Rachid Ghezzal","€800k","-","Olympique Lyon","Left","Without Club"
"Téo Barišić","-","-","Olympique Lyon","Left","Olymp. Lyon B"
"Mathys De Carvalho","-","-","Olympique Lyon","Left","Olymp. Lyon B"
"Khalis Merah","-","-","Olympique Lyon","Left","Olymp. Lyon U19"
"Saïd Benrahma","€10.00m","End of loanJun 30, 2025","Olympique Lyon","Left","NEOM SC"
"Justin Bengui","€400k","End of loanJun 30, 2025","Olympique Lyon","Left","Jedinstvo Ub"
"Mahamadou Diawara","€2.00m","End of loanJun 30, 2025","Olympique Lyon","Left","Le Havre AC"
"Adryelson","€3.50m","End of loanJun 30, 2025","Olympique Lyon","Left","RSC Anderlecht"
"Orel Mangala","€18.00m","End of loanJun 30, 2025","Olympique Lyon","Left","Everton"
"Amin Sarr","€5.00m","End of loanJun 30, 2025","Olympique Lyon","Left","Hellas Verona"
"Johann Lepenant","€6.00m","End of loanJun 30, 2025","Olympique Lyon","Left","FC Nantes"
"Achraf Laâziri","€800k","End of loanJun 30, 2025","Olympique Lyon","Left","RWDM Brussels"
"Islamdine Halifa","€750k","End of loanJun 30, 2025","Olympique Lyon","Left","RWDM Brussels"
"Mathieu Patouillet","€800k","End of loanJun 30, 2025","Olympique Lyon","Left","FC Sochaux"
"Rayan Cherki","€45.00m","€36.50m","Olympique Lyon","Joined","Man City"
"Georges Mikautadze","€22.00m","€31.00m","Olympique Lyon","Joined","Villarreal"
"Lucas Perri","€10.00m","€16.00m","Olympique Lyon","Joined","Leeds"
"Saïd Benrahma","€10.00m","€12.00m","Olympique Lyon","Joined","NEOM SC"
"Amin Sarr","€5.00m","€3.50m","Olympique Lyon","Joined","Hellas Verona"
"Johann Lepenant","€6.00m","€2.50m","Olympique Lyon","Joined","FC Nantes"
"Adryelson","€3.50m","€2.20m","Olympique Lyon","Joined","Al-Wasl"
"Saël Kumbedi","€7.00m","Loan fee:€1.00m","Olympique Lyon","Joined","Wolfsburg"
"Jordan Veretout","€4.00m","€500k","Olympique Lyon","Joined","Al-Arabi SC"
"Duje Caleta-Car","€7.00m","Loan fee:€500k","Olympique Lyon","Joined","Real Sociedad"
"Mathieu Patouillet","€800k","€342k","Olympique Lyon","Joined","Al-Hilal"
"Mahamadou Diawara","€2.00m","Loan fee:€250k","Olympique Lyon","Joined","Royal Antwerp"
"Islamdine Halifa","€750k","free transfer","Olympique Lyon","Joined","Red Star FC"
"Alexandre Lacazette","€6.00m","free transfer","Olympique Lyon","Joined","NEOM SC"
"Nemanja Matić","€2.00m","free transfer","Olympique Lyon","Joined","Sassuolo"
"Justin Bengui","€400k","loan transfer","Olympique Lyon","Joined","RWDM Brussels"
"Matt Turner","€2.50m","loan transfer","Olympique Lyon","Joined","New England"
"Paul Akouokou","€800k","loan transfer","Olympique Lyon","Joined","Real Zaragoza"
"Thiago Almada","€25.00m","End of loanJun 30, 2025","Olympique Lyon","Joined","Botafogo"
"Warmed Omari","€3.00m","End of loanJun 30, 2025","Olympique Lyon","Joined","Stade Rennais"
"Joaquín Panichelli","€7.00m","€17.00m","RC Strasbourg Alsace","Left","Alavés"
"Lucas Høgsberg","€3.50m","€15.00m","RC Strasbourg Alsace","Left","Nordsjaelland"
"Mathis Amougou","€10.00m","€14.50m","RC Strasbourg Alsace","Left","Chelsea"
"Andrew Omobamidele","€8.00m","€10.50m","RC Strasbourg Alsace","Left","Nott'm Forest"
"Valentín Barco","€12.00m","€10.00m","RC Strasbourg Alsace","Left","Brighton"
