Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved
"Charles Aránguiz","clCHI","MF","Leverkusen","deBundesliga","31","1989","18.5","1357","49","312","887","162","12","1357","15","9","60.0","6","40.0","707","2687","1191","11","14","2","20","9","917","18",
"Luiz Araújo","brBRA","MF","Lille","frLigue 1","24","1996","16.6","854","11","80","387","410","46","854","84","49","58.3","35","41.7","523","3692","1694","50","47","13","37","27","601","135",
"Néstor Araujo","mxMEX","DF","Celta Vigo","esLa Liga","28","1991","27.0","1804","215","965","804","46","10","1804","5","5","100.0","0","0.0","1104","6425","3832","26","15","0","15","0","1235","1",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","21","1999","16.8","1213","151","536","640","42","12","1213","8","8","100.0","0","0.0","815","3850","2161","9","7","1","6","2","879","2",
"Anaitz Arbilla","esESP","DF","Eibar","esLa Liga","33","1987","31.2","2222","119","720","1256","284","13","2222","30","25","83.3","5","16.7","1109","6550","3244","37","26","3","22","9","1156","19",
"Alphonse Areola","frFRA","GK","Fulham","engPremier League","27","1993","36.0","1101","972","1096","5","0","0","1101","0","0","","0","","574","2982","1600","0","0","0","1","0","414","0",
"Santiago Arias","coCOL","DF","Leverkusen","deBundesliga","28","1992","1.0","68","3","21","34","14","2","68","0","0","","0","","22","126","63","2","1","0","1","0","38","4",
"Karim Aribi","dzALG","FW","Nîmes","frLigue 1","26","1994","3.3","110","3","13","54","47","12","110","8","3","37.5","5","62.5","45","272","114","4","3","2","13","3","72","19",
"Unai Arietaleanizbeaskoa","esESP","FW,MF","Eibar","esLa Liga","21","1999","0.5","14","0","0","6","8","0","14","0","0","","0","","9","27","11","0","0","0","3","0","11","6",
"Nicolò Armini","itITA","DF","Lazio","itSerie A","19","2001","0.1","5","0","1","3","1","0","5","0","0","","0","","3","27","0","0","0","0","0","0","3","0",
"Stuart Armstrong","sctSCO","MF","Southampton","engPremier League","28","1992","30.7","1669","38","234","946","512","53","1669","106","68","64.2","38","35.8","985","7033","3521","109","75","10","77","68","1132","118",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","26","1994","28.7","1964","85","368","1188","432","11","1964","19","17","89.5","2","10.5","939","4472","2243","30","37","2","29","22","1097","33",
"Tolu Arokodare","ngNGA","FW,MF","Köln","deBundesliga","19","2000","1.2","54","0","2","24","29","11","54","0","0","","0","","28","102","19","1","1","1","6","2","43","11",
"Sergio Arribas","esESP","MF,FW","Real Madrid","esLa Liga","18","2001","1.5","104","2","23","48","36","2","104","6","6","100.0","0","0.0","68","399","210","8","3","2","3","3","78","13",
